anio;La Acena;Pedrezuela;La Jorosa;Navalmedio;Valmayor;El Vado;Los Morales;El Atazar;El Villar;La Pinilla;Puentes Viejas;Rio Sequillo;Navacerrada;Santillana;;total año;;
1998;217,063;249,988;75,929;5,503;1196,115;354,826;24,881;4229,075;202,936;331,674;491,448;500,325;91,58;942,923;;8914,266;;
1999;95,983;81,012;63,902;5,167;883,314;246,589;16,027;2690,753;201,729;324,032;476,119;524,855;55,903;773,999;;6439,384;;
2000;129,952;229,396;56,956;4,936;956,568;420,125;9,217;3190,245;213,633;335,566;495,262;494,353;63,119;469,135;;7068,463;;
2001;235,078;259,369;52,527;3,748;945,805;305,6;24,197;4273,737;202,794;326,125;406,578;419,898;65,511;798,99;;8319,957;;
2002;134,026;147,38;40,863;4,467;746,302;185,717;17,381;2593,557;199,049;300,356;306,979;296,148;61,413;429,371;;5463,009;;
2003;210,697;287,997;66,616;4,838;1191,689;395,167;23,834;4188,312;239,377;354,389;483,832;457,978;82,101;894,062;;8880,889;;
2004;227,943;313,076;66,895;5,182;1192,338;317,306;23,224;4298,668;204,876;369,828;516,367;486,956;86,126;854,773;;8963,558;;
2005;148,537;100,14;44,15;4,2;943,366;127,982;10,862;2678,624;130,297;327,222;238,635;331,484;64,582;445,342;;5595,423;;
2006;112,887;207,577;45,77;3,964;1219,493;303,831;6,242;2330,765;94,357;303,149;263,007;206,686;83,981;634,587;;5816,296;;
2007;228,617;338,677;62,238;5,011;1362,951;339,407;14,051;3939,723;140,43;342,912;355,53;312,305;84,647;919,231;;8445,73;;
2008;217,135;295,207;64,107;4,829;1383,982;280,62;13,164;3466,12;195,838;309,1;384,742;347,113;66,809;846,307;;7875,073;;
2009;199,286;287,193;59,835;4,955;1042,536;288,911;8,159;4078,837;225,601;339,72;297,067;454,814;77,461;761,524;;8125,899;;
2010;142,933;339,821;54,115;4,553;1174,521;380,23;11,795;4024,437;239,293;342,118;495,542;468,545;67,074;739,722;;8484,699;;
2011;204,972;431,717;61,182;4,605;1182,75;367,354;17,189;4382,039;258,416;378,472;543,628;516,304;90,57;942,875;;9382,073;;maximo 2011
2012;120,022;180,033;39,79;4,401;984,961;210,927;7,927;3128,489;224,53;335,452;484,584;455,653;76,355;673,44;;6926,564;;9382,073
2013;204,339;381,556;62,749;4,951;1108,868;387,648;16,042;4262,076;246,52;366,649;549,106;512,457;95,465;909,656;;9108,082;;
2014;211,09;357,975;64,001;5,023;1112,366;382,813;24,136;4323,215;258,947;348,317;508,854;482,661;91,507;944,162;;9115,067;;
2015;210,212;303,759;64,94;5,024;940,953;297,532;14,933;4309,512;228,855;350,152;513,247;458,929;78,373;812,276;;8588,697;;
2016;216,887;395,613;62,534;4,36;865,319;337,323;19,853;4312,877;252,318;344,754;524,671;485,036;87,029;821,279;;8729,853;;
2017;180,057;328,141;53,067;4,162;977,069;232,944;14,895;3737,724;227,037;287,649;442,148;430,725;64,922;770,893;;7751,433;;
2018;176,568;404,997;58,014;4,613;1083,002;371,286;12,303;4142,137;255,81;309,714;491,587;447,473;87,182;815,909;;8660,595;;
2019;97,767;250,572;34,419;3,677;947,994;299,571;0;3542,393;232,884;297,581;518,795;476,804;57,963;643,664;;7404,084;;
2020;169,32;383,067;50,727;4,011;882,346;407,93;0;4215,141;236,084;319,11;485,637;464,692;81,564;824,34;;8523,969;;
2021;70,622;106,074;18,569;1,026;331,339;141,328;0;1008,161;65,146;84,791;139,619;137,623;26,773;250,293;;2381,364;;
;;;;;;;;;;;;;;;;;;
total embalses;4161,993;6660,337;1323,895;107,206;24655,947;7382,967;330,312;87346,617;4976,757;7728,832;10412,984;10169,817;1788,01;17918,753;;;;
maximo ;87346,617;;;;;;;;;;;;;;;;;
el altazar ;;;;;;;;;;;;;;;;;;
